Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Cbln2,AC14,,AC,0.572221671287597,Queried,Cbln2,AC_14,AC
Dmd,AC14,,AC,0.377416258433836,Queried,Dmd,AC_14,AC
Lingo2,AC14,,AC,0.277592106887276,Queried,Lingo2,AC_14,AC
Ctnnd2,AC14,,AC,0.365442039149197,Queried,Ctnnd2,AC_14,AC
Oxr1,AC14,,AC,0.30095212061907,Queried,Oxr1,AC_14,AC
Grik1,AC15,,AC,0.185881613378728,Queried,Grik1,AC_15,AC
Ptprt,AC15,,AC,0.162348894402118,Queried,Ptprt,AC_15,AC
Grid2,AC15,,AC,0.200505769016667,Queried,Grid2,AC_15,AC
Alk,AC15,,AC,0.213304026123577,Queried,Alk,AC_15,AC
Kcnip4,AC15,,AC,0.205293355304193,Queried,Kcnip4,AC_15,AC
Ebf1,AC15,,AC,0.187250507960246,Queried,Ebf1,AC_15,AC
Hs6st3,AC15,,AC,0.1578203189584,Queried,Hs6st3,AC_15,AC
Galntl6,AC15,,AC,0.368557018755616,Queried,Galntl6,AC_15,AC
Lamp5,AC15,,AC,0.186470561329389,Queried,Lamp5,AC_15,AC
Cntnap5a,AC15,,AC,0.134953640368002,Queried,Cntnap5a,AC_15,AC
