Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Dpp10,RGC,24_Novel,ENSMUSG00000036815,Dpp10,0.8329532682681247
Ncam2,RGC,24_Novel,ENSMUSG00000022762,Ncam2,0.5436557551266398
Tppp3,RGC,24_Novel,ENSMUSG00000014846,Tppp3,0.6086453519935106
Pcdh9,RGC,24_Novel,ENSMUSG00000055421,Pcdh9,0.4025875428153233
Clstn2,RGC,24_Novel,ENSMUSG00000032452,Clstn2,0.4560652996284215
Alcam,RGC,24_Novel,ENSMUSG00000022636,Alcam,0.5496156772491193
Gabrg3,RGC,24_Novel,ENSMUSG00000055026,Gabrg3,0.4785405832011342
Syt4,RGC,25_Novel,ENSMUSG00000024261,Syt4,0.289803922248573
Grid2,RGC,25_Novel,ENSMUSG00000071424,Grid2,0.7210580354101257
Inpp4b,RGC,25_Novel,ENSMUSG00000037940,Inpp4b,0.4789551744142803
Ralyl,RGC,25_Novel,ENSMUSG00000039717,Ralyl,0.287060191425355
Ntng1,RGC,25_Novel,ENSMUSG00000059857,Ntng1,0.2652938546995486
Rgs6,RGC,25_Novel,ENSMUSG00000021219,Rgs6,0.4171993623127413
Cplx1,RGC,25_Novel,ENSMUSG00000033615,Cplx1,0.3684072400056397
Tafa1,RGC,25_Novel,ENSMUSG00000059187,Tafa1,0.2759930562437164
Lrrtm4,RGC,25_Novel,ENSMUSG00000052581,Lrrtm4,0.3062832791477478
Zmat4,RGC,25_Novel,ENSMUSG00000037492,Zmat4,0.2685610215673195
Kirrel3,RGC,25_Novel,ENSMUSG00000032036,Kirrel3,0.6218158489490581
Mgarp,RGC,25_Novel,ENSMUSG00000037161,Mgarp,0.2811998568680598
Ebf1,RGC,25_Novel,ENSMUSG00000057098,Ebf1,0.2478419819506452
Pcdh17,RGC,25_Novel,ENSMUSG00000035566,Pcdh17,0.2520402188318435
Ptn,RGC,25_Novel,ENSMUSG00000029838,Ptn,0.5421573349963558
Pcdh9,RGC,25_Novel,ENSMUSG00000055421,Pcdh9,0.3086798318519566
Meis2,RGC,25_Novel,ENSMUSG00000027210,Meis2,0.523407880587292
Scn1b,RGC,26_Novel,ENSMUSG00000019194,Scn1b,0.5388626496782157
Penk,RGC,26_Novel,ENSMUSG00000045573,Penk,0.8623205540121716
Sorcs3,RGC,26_Novel,ENSMUSG00000063434,Sorcs3,0.6549112041282242
Kcnq5,RGC,26_Novel,ENSMUSG00000028033,Kcnq5,0.62900989290073
Ctnna2,RGC,26_Novel,ENSMUSG00000063063,Ctnna2,0.4431709231853741
Sorcs1,RGC,26_Novel,ENSMUSG00000043531,Sorcs1,0.7734013831344354
Sgcz,RGC,26_Novel,ENSMUSG00000039539,Sgcz,0.8304759336423299
Chchd10,RGC,26_Novel,ENSMUSG00000049422,Chchd10,0.5668655192961409
Ogfrl1,RGC,26_Novel,ENSMUSG00000026158,Ogfrl1,0.7438076512948494
Plcb4,RGC,26_Novel,ENSMUSG00000039943,Plcb4,0.6316563264181069
Lrrtm4,RGC,26_Novel,ENSMUSG00000052581,Lrrtm4,0.5688964903141949
Pcdh7,RGC,26_Novel,ENSMUSG00000029108,Pcdh7,0.5316951361106323
Pcdh15,RGC,26_Novel,ENSMUSG00000052613,Pcdh15,0.6232457830372972
Unc5d,RGC,26_Novel,ENSMUSG00000063626,Unc5d,0.5522407130281279
Meis2,RGC,26_Novel,ENSMUSG00000027210,Meis2,0.6772479647912414
Grm5,RGC,26_Novel,ENSMUSG00000049583,Grm5,0.5880287834099247
Pcdh11x,RGC,26_Novel,ENSMUSG00000034755,Pcdh11x,0.813805538774394
Kirrel3,RGC,27_Novel,ENSMUSG00000032036,Kirrel3,0.5750029956653268
Cck,RGC,27_Novel,ENSMUSG00000032532,Cck,0.4173699937425116
Ebf3,RGC,27_Novel,ENSMUSG00000010476,Ebf3,0.4932990171740776
